"ObjectID","Mapped","Crash Date","City/Town","Address","AOT Route","Crash Type","Collision Direction","Weather","Road Group","Report Number","Reporting Agency","Road Group ID","AOT Actual Milepoint","Animal","Time of Day","Intersection With","Impairment","Involving","Non Reportable Address","Reporting Agency ID","Road Characteristics","Road Condition","Street Address","Surface Condition","AOT Route ID","Coordinates"
"124464","","January 22, 2015, 6:26 AM","Stowe","Mountain Rd","VT-108","Property Damage Only","","Unknown","State System (State Highways and Class I TH links)","2015ST000326","Stowe PD.","1","5.01","Deer","Day","Matterhorn","None","None","","VT0080200","","","Mountain Rd","","1080","44.50210934547189,-72.75583875928504"
"124920","","January 25, 2015, 11:44 AM","Hartford","899 N. Hartland Rd","US-5","Property Damage Only","Single Vehicle Crash","Wind","State System (State Highways and Class I TH links)","15HF00260","Hartford PD.","1","2.15","Deer","Night","Upper Valley Aquatic Center","None","None","","VT0140300","Not at a Junction","Road Surface Condition(wet, icy, snow, slush, etc)","899 N. Hartland Rd","Wet","0050","43.640936254397374,-72.3475603779776"
"124830","","January 26, 2015, 7:45 PM","St. Johnsbury","I91 SB","I-91","Property Damage Only","Single Vehicle Crash","Cloudy","State System (State Highways and Class I TH links)","15B100272","VSP - B1 St. Johnsbury","1","132.3","Deer","Night","MM 132/3","None","None","","VTVSP0200","Not at a Junction","None","I91 SB","Dry","0910","44.45012546937787,-72.02511604796402"
"18442","","January 26, 2015, 8:18 PM","Hartford","828 Wheelock Rd","WHEELOCK RD","Property Damage Only","Head On","Clear","City, Village or Urban Compact Street not in FA Urban Area (Class 2 and 3 Non-Federal Aid)","15HF00273","Hartford PD.","6","999.99","Domestic","Day","Baker Turn","None","None","","VT0140300","Not at a Junction","Road Surface Condition(wet, icy, snow, slush, etc)","828 Wheelock Rd","Snow","0000","43.65903054031788,-72.45670895494099"
"125322","","January 28, 2015, 12:28 PM","Williston","Essex Road","VT-2A","Property Damage Only","Single Vehicle Crash","Freezing Precipitation","State System (State Highways and Class I TH links)","15WT00335","Williston PD.","1","5.15","Deer","Night","Essex Road/Bittersweat Circle","None","None","","VT0041000","Not at a Junction","Road Surface Condition(wet, icy, snow, slush, etc)","Essex Road","Snow","0021","44.470183744734385,-73.11310498916363"
"125202","","January 29, 2015, 11:28 AM","Milton","FAU-5806 Lake Rd","LAKE ROAD","Property Damage Only","Single Vehicle Crash","Clear","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","2015MT000630","Milton PD.","2","6.4","Deer","Night","Bullock Road","None","None","","VT0040600","Not at a Junction","None","FAU-5806 Lake Rd","Dry","U5806","44.70380080549897,-73.1929654976441"
"125635","","January 31, 2015, 3:29 PM","Rockingham","","US-5","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15D100325","VSP - D1 Rockingham (VOID)","1","3.5","Deer","Night","Imtec Lane","None","None","","VTVSP0400","Not at a Junction","None","","Dry","0050","43.171554095491565,-72.45845513278677"
"26520","","February 4, 2015, 5:45 PM","Barre Town","TH-2 Websterville Rd","TOWN ROAD 0002","Property Damage Only","Single Vehicle Crash","Cloudy","City, Village or Urban Compact Street not in FA Urban Area (Class 2 and 3 Non-Federal Aid)","15BT000498","Barre Town PD","6","999.99","Deer","Night","Graniteville Rd","None","None","","VT0120500","Not at a Junction","None","TH-2 Websterville Rd","Snow","T0002","44.184898823017825,-72.47113451869811"
"126395","","February 6, 2015, 10:39 AM","South Burlington","1700 Shelburne Rd","US-7","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","2015SB001466","So. Burlington PD.","1","0.34","Deer","Night","Allen Road","None","None","","VT0040300","Not at a Junction","None","1700 Shelburne Rd","Dry","0070","44.42572161362988,-73.21159184293879"
"10063","","February 7, 2015, 9:03 AM","Newport City","West Main St.","W MAIN ST","Property Damage Only","Other - Explain in Narrative","Freezing Precipitation","Street or Town Highways in FA Urban Area","15NP00292","Newport PD.","5","999.99","Deer","Night","Trempe St & West Main St.","None","None","","VT0100100","Not at a Junction","None","West Main St.","Snow","0000","44.93381550090135,-72.21906023561267"
"127833","","February 25, 2015, 7:38 AM","Danville","US Route 2","US-2","Property Damage Only","Single Vehicle Crash","Cloudy","State System (State Highways and Class I TH links)","15B100611","VSP - B1 St. Johnsbury","1","5.92","Domestic","Night","Old Stage Coach Road","None","None","","VTVSP0200","Not at a Junction","Obstruction in roadway","US Route 2","Dry","0020","44.42288524098982,-72.11571908308115"
"129356","","March 2, 2015, 1:03 PM","Essex","305 Colchester Rd","VT-2A","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15ES01200","Essex PD.","1","3.47","Deer","Night","Ins And Auto Auctions","None","None","","VT0040200","Not at a Junction","None","305 Colchester Rd","Dry","0021","44.5281286606802,-73.1285820434456"
"5148","","March 4, 2015, 8:17 AM","Sharon","","I-89","Property Damage Only","Single Vehicle Crash","Freezing Precipitation","State System (State Highways and Class I TH links)","15D300957","VSP - D3 Royalton","1","14","Deer","Night","Exit 2 Southbound","None","None","","VTVSP1100","Not at a Junction","Road Surface Condition(wet, icy, snow, slush, etc)","","Snow","0890","43.78421233335532,-72.46301777132429"
"13609","","March 9, 2015, 6:15 PM","Barre Town","TH-9 West Rd","TOWN ROAD 0009","Property Damage Only","Single Vehicle Crash","Cloudy","City, Village or Urban Compact Street not in FA Urban Area (Class 2 and 3 Non-Federal Aid)","15BT000946","Barre Town PD","6","999.99","Deer","Night","Miller Rd Extension","None","None","","VT0120500","Not at a Junction","Road Surface Condition(wet, icy, snow, slush, etc)","TH-9 West Rd","Snow","T0009","44.16880826207893,-72.47710668808496"
"129158","","March 10, 2015, 7:09 PM","St. Johnsbury","I91 SB","I-91","Property Damage Only","Single Vehicle Crash","Cloudy","State System (State Highways and Class I TH links)","15B100742","VSP - B1 St. Johnsbury","1","131.05","Deer","Night","Exit 21 MM 131/05","None","None","","VTVSP0200","Not at a Junction","None","I91 SB","Wet","0910","44.434362313908444,-72.03329787149258"
"11207","","March 11, 2015, 9:38 AM","Bennington","Route 7 North","US-7","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15BN01290","Bennington PD.","1","999.99","Deer","Night","Kocher Drive","None","None","","VT0020100","Not at a Junction","None","Route 7 North","Dry","0070","42.89432834953071,-73.2001670083237"
"129335","","March 13, 2015, 6:38 PM","Brandon","US-7 Franklin St","US-7","Property Damage Only","Single Vehicle Crash","Unknown","State System (State Highways and Class I TH links)","2015BD000827","Brandon PD.","1","1.14","Deer","Night","Pine Rd","None","None","","VT0110100","Not at a Junction","None","US-7 Franklin St","Not Reported","0070","43.77212978310408,-73.05196353509255"
"129435","","March 16, 2015, 7:20 PM","Marshfield","US Route 2","US-2","Property Damage Only","Single Vehicle Crash","Cloudy","State System (State Highways and Class I TH links)","15A301271","VSP - A3 Middlesex","1","2.8","Deer","Night","","None","None","","VTVSP1200","Not at a Junction","None","US Route 2","Wet","0020","44.31075220439481,-72.39720971752948"
"10922","","March 17, 2015, 7:39 AM","Springfield","Min. C 0560 (455 South Street)","SOUTH ST","Property Damage Only","Single Vehicle Crash","Clear","Minor Collector - Non Fed Aid Rural TH","15SF01181","Springfield PD.","4","999.99","Deer","Night","Parker Hill Road","None","None","","VT0140200","Not at a Junction","None","Min. C 0560 (455 South Street)","Dry","S0560","43.26646263736454,-72.47397408441569"
"130051","","March 20, 2015, 6:29 AM","Waterford","I 93 N","I-93","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15B100844","VSP - B1 St. Johnsbury","1","2.8","Deer","Day","MM 002.8","None","None","","VTVSP0200","Not at a Junction","None","I 93 N","Dry","0930","44.37811653288322,-71.91558317107771"
"129442","","March 20, 2015, 8:29 PM","Bennington","VT-67A(1789 North Benningto Road)","VT-67A","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15BN01474","Bennington PD.","1","1.76","Deer","Day","Royal Street","None","None","","VT0020100","Not at a Junction","None","VT-67A(1789 North Benningto Road)","Dry","0671","42.913980511779805,-73.23864723153419"
"129806","","March 23, 2015, 9:00 AM","Swanton","VT-207 (2200 Highgate Road)","VT-207","Property Damage Only","Head On","Clear","State System (State Highways and Class I TH links)","15SW00354","Swanton PD.","1","3.21","Deer","Night","Woods Hill Road","None","None","","VT0060300","Not at a Junction","None","VT-207 (2200 Highgate Road)","Dry","2070","44.89021868082867,-73.06770393356015"
"5222","","March 23, 2015, 9:15 AM","Bennington","Route 279","VT-279","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15BN01530","Bennington PD.","1","1.19","Deer","Night","Wildlife Bridge","None","None","","VT0020100","Not at a Junction","None","Route 279","Dry","2790","42.90254876604654,-73.25711637448053"
"129988","","March 23, 2015, 1:29 PM","Brattleboro","Marlboro Rd","VT-9","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15BB02199","Brattleboro PD.","1","3.67","Deer","Night","New England House Resturant","None","None","","VT0130200","Not at a Junction","None","Marlboro Rd","Dry","0090","42.86537767249009,-72.613341768826"
"129489","","March 26, 2015, 8:29 PM","Springfield","1110 Chester Road","VT-11","Property Damage Only","Single Vehicle Crash","Cloudy","State System (State Highways and Class I TH links)","15SF01351","Springfield PD.","1","0.27","Deer","Day","Pleasant Valley Road","None","None","","VT0140200","Not at a Junction","None","1110 Chester Road","Dry","0110","43.27789439294866,-72.54347295781714"
"129506","","March 28, 2015, 5:30 AM","Essex","52 KELLOGG RD","KELLOGG ROAD","Property Damage Only","Other - Explain in Narrative","Cloudy","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","15ES01685","Essex PD.","2","0.5","Deer","Day","NEW ENGLAND DR","None","None","","VT0040200","Not at a Junction","","52 KELLOGG RD","Dry","U5406","44.51221064740698,-73.14030785132094"
"130079","","March 28, 2015, 8:15 AM","Springfield","Chester Road","VT-11","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15SF01384","Springfield PD.","1","0.43","Deer","Night","Pleasant Valley Road","None","None","","VT0140200","Unknown","None","Chester Road","Dry","0110","43.278175171536624,-72.54036702820864"
"130575","","March 29, 2015, 5:10 AM","Morgan","VT-111","VT-111","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15B200942","VSP - B2 Derby","1","6.52","Deer","Day","Elliott Acres","None","None","","VTVSP0800","Not at a Junction","None","VT-111","Dry","1110","44.889215974841406,-71.96514432598387"
"130658","","April 3, 2015, 8:46 AM","Putney","I-91","I-91","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15D200889","VSP - D2 Brattleboro (VOID)","1","18.2","Deer","Night","MM 18.20 N","None","None","","VTVSP1000","Not at a Junction","None","I-91","Dry","0910","42.96532490832121,-72.52030704726128"
"130720","","April 3, 2015, 10:16 AM","South Hero","564 Route 2","US-2","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15GIC0542","Grand Isle County SD","1","0.73","Deer","Night","","None","None","","VT0070000","Not at a Junction","None","564 Route 2","Dry","0020","44.670474333709805,-73.32171627498846"
"130580","","April 6, 2015, 1:03 PM","Brattleboro","Marlboro Rd","VT-9","Property Damage Only","Head On","Clear","State System (State Highways and Class I TH links)","15BB02608","Brattleboro PD.","1","2.54","Deer","Night","NE House Restuarant","None","None","","VT0130200","Not at a Junction","None","Marlboro Rd","Dry","0090","42.86778356733414,-72.63486507076529"
"130482","","April 6, 2015, 8:40 PM","Richmond","1938 Jericho Road","JERICHO RD","Property Damage Only","No Turns, Thru moves only, Broadside ^<","Clear","Federal Aid Secondary System (Class 2 TH)","15RM00303","Richmond PD.","3","7.14","Deer","Day","Mary Drive","None","None","","VT0040800","Not at a Junction","None","1938 Jericho Road","Dry","S0209","44.42695707628447,-72.9815066601436"
"130530","","April 7, 2015, 6:07 AM","Stowe","Pucker St, Mansfield View Rd","VT-100","Property Damage Only","","Unknown","State System (State Highways and Class I TH links)","2015ST001255","Stowe PD.","1","5.61","Deer","Day","","None","None","","VT0080200","","","Pucker St, Mansfield View Rd","","1000","44.486287982839755,-72.6553744053902"
"130552","","April 10, 2015, 6:56 PM","Weathersfield","VT-106 (2879 Route 106)","VT-106","Property Damage Only","Single Vehicle Crash","Rain","State System (State Highways and Class I TH links)","15D101093","VSP - D1 Rockingham (VOID)","1","2.86","Deer","Night","","None","None","","VTVSP0400","Not at a Junction","Road Surface Condition(wet, icy, snow, slush, etc)","VT-106 (2879 Route 106)","Wet","1060","43.380579306865926,-72.50891872235209"
"130838","","April 12, 2015, 9:03 AM","St. Johnsbury","US RT 2W","US-2","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15B101068","VSP - B1 St. Johnsbury","1","0.02","Deer","Night","Danville Town Line","None","None","","VTVSP0200","Not at a Junction","None","US RT 2W","Dry","0020","44.44342226012489,-72.06022626842015"
"131043","","April 12, 2015, 10:16 PM","Bennington","VT RT 7 South","US-7","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15BN01943","Bennington PD.","1","0.88","Deer","Day","New Fuller Road West","None","None","","VT0020100","Not at a Junction","None","VT RT 7 South","Dry","0070","42.84993199733148,-73.20272570083772"
"20509","","April 13, 2015, 9:00 AM","Shelburne","Wild Wood Drive","WILDWOOD DR","Property Damage Only","","Unknown","Street or Town Highways in FA Urban Area","15SH00794","Shelburne PD.","5","999.99","Domestic","Night","Wild Wood Drive","None","None","","VT0040700","","","Wild Wood Drive","","0000","44.3727619489824,-73.20861277771718"
"131060","","April 14, 2015, 8:32 PM","Burlington","US-7 Riverside Ave","US-7","Injury","Rear End","Clear","State System (State Highways and Class I TH links)","2015BU009061","Burlington PD","1","3.24","Wild","Day","N Prospect St","None","None","","VT0040100","Not at a Junction","None","US-7 Riverside Ave","Dry","0070","44.48884755415854,-73.20206826944626"
"131123","","April 15, 2015, 9:09 AM","Newport Town","RT 100","VT-100","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15B201145","VSP - B2 Derby","1","2.64","Deer","Night","Poginy Hill Road","None","None","","VTVSP0800","Not at a Junction","None","RT 100","Dry","1000","44.92160701440947,-72.30050611362135"
"130896","","April 15, 2015, 9:26 AM","St. Johnsbury","I 91 S","I-91","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15B101093","VSP - B1 St. Johnsbury","1","134.2","Wild","Night","Mm 134.2","None","None","","VTVSP0200","Not at a Junction","None","I 91 S","Dry","0910","44.477611225333305,-72.02405127460116"
"130980","","April 15, 2015, 12:31 PM","Essex","BROWNS RIVER RD","VT-128","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15ES02081","Essex PD.","1","3.91","Deer","Night","PETTINGILL RD","None","None","","VT0040200","Not at a Junction","None","BROWNS RIVER RD","Dry","1280","44.55353222733795,-73.0338073600473"
"130770","","April 16, 2015, 9:15 AM","Williston","US-2(7928 Williston Road)","US-2","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15WT01503","Williston PD.","1","3.52","Wild","Night","Oak Hill Rd/Old Creamery Rd","None","None","","VT0041000","Not at a Junction","None","US-2(7928 Williston Road)","Dry","0020","44.438390185005225,-73.0724400847211"
"12776","","April 17, 2015, 10:06 AM","Milton","TH-5 East Rd  /  Tree Farm","TOWN ROAD 0005","Property Damage Only","Same Direction Sideswipe","Clear","City, Village or Urban Compact Street not in FA Urban Area (Class 2 and 3 Non-Federal Aid)","2015MT002465","Milton PD.","6","999.99","Moose","Night","East Road/Tree Farm","None","None","","VT0040600","Not at a Junction","None","TH-5 East Rd  /  Tree Farm","Dry","T0005","44.59730342593445,-73.11450338472054"
"131009","","April 22, 2015, 9:20 AM","Brownington","I-91 SB MM 163.8","I-91","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15B201230","VSP - B2 Derby","1","163.8","Deer","Night","Exit 26 South I 91","None","None","","VTVSP0800","Not at a Junction","None","I-91 SB MM 163.8","Dry","0910","44.8373649469588,-72.19480563780944"
"131401","","April 24, 2015, 9:30 AM","Hartford","Woodstock Road","US-4","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15HF01282","Hartford PD.","1","2.59","Deer","Night","Quechee Hartland Road","None","None","","VT0140300","Not at a Junction","None","Woodstock Road","Dry","0040","43.64281400015683,-72.41769486131747"
"131283","","April 27, 2015, 10:05 AM","Colchester","Roosevelt Highway","US-7","Property Damage Only","Single Vehicle Crash","Cloudy","State System (State Highways and Class I TH links)","15CC003779","Colchester PD.","1","3.11","Deer","Night","Orchard Drive","None","None","","VT0040500","Not at a Junction","None","Roosevelt Highway","Dry","0070","44.54407149171302,-73.16743911750761"
"5403","","April 28, 2015, 1:01 AM","Colchester","Roosevelt Hwy","US-7","Property Damage Only","Single Vehicle Crash","Unknown","State System (State Highways and Class I TH links)","15CC003782","Colchester PD.","1","0.64","Deer","Day","Rathe Rd","None","None","","VT0040500","Not at a Junction","Unknown","Roosevelt Hwy","Unknown","0070","44.51154364277274,-73.17926746130895"
"131523","","April 29, 2015, 7:46 PM","Bennington","VT-9 West Road","VT-9","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15BN02353","Bennington PD.","1","0.85","Deer","Day","Ronnie Cycle","None","None","","VT0020100","Not at a Junction","None","VT-9 West Road","Dry","0090","42.87719598773277,-73.26176750219612"
"20787","","May 1, 2015, 9:16 AM","Bennington","TH-54 Gore Road","TOWN ROAD 0054","Property Damage Only","Single Vehicle Crash","Clear","City, Village or Urban Compact Street not in FA Urban Area (Class 2 and 3 Non-Federal Aid)","15BN02404","Bennington PD.","6","999.99","Deer","Night","Sunset Drive","None","None","","VT0020100","Not at a Junction","None","TH-54 Gore Road","Dry","T0054","42.865315786738776,-73.1637752536129"
"5546","","May 4, 2015, 7:25 PM","Wheelock","VT RT 122","VT-122","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15B101275","VSP - B1 St. Johnsbury","1","0.87","Deer","Day","Dexter Cemetary Road","None","None","","VTVSP0200","Not at a Junction","None","VT RT 122","Dry","1220","44.585344776769944,-72.07914874229694"
"132530","","May 10, 2015, 10:07 AM","South Burlington","Airport Parkway","AIRPORT PARKWAY","Property Damage Only","Opp Direction Sideswipe","Clear","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","15SB005572","So. Burlington PD.","2","0.25","Deer","Night","#103","None","Bicycle","","VT0040300","Not at a Junction","None","Airport Parkway","Dry","U5206","44.47416528615517,-73.16478028022712"
"131808","","May 10, 2015, 12:14 PM","Springfield","FAS-135 Brook Rd.","BROOK RD","Property Damage Only","Single Vehicle Crash","Clear","Federal Aid Secondary System (Class 2 TH)","15SF02190","Springfield PD.","3","1.6","Deer","Night","Elm Hill","None","None","","VT0140200","Not at a Junction","None","FAS-135 Brook Rd.","Dry","S0135","43.32105420302716,-72.47696587863335"
"132171","","May 14, 2015, 8:56 PM","Dover","FAS-106(340 Dover Hill Road)","DOVER HILL RD","Property Damage Only","Single Vehicle Crash","Clear","Federal Aid Secondary System (Class 2 TH)","15DV00495","Dover PD.","3","1.21","Domestic","Day","","None","None","","VT0130500","Not at a Junction","None","FAS-106(340 Dover Hill Road)","Dry","S0106","42.93264966895771,-72.81476558367926"
"26084","","May 15, 2015, 12:00 AM","Middlebury","Lacrosse Street","Unknown","Property Damage Only","","Clear","Street or Town Highways in FA Urban Area","15-1829","Middlebury PD.","5","999.99","Deer","Day","Cottage Lane","None","None","","VT0010200","Not at a Junction","None","Lacrosse Street","Dry","0000","44.00080698765998,-73.09280227624681"
"132332","","May 15, 2015, 11:50 PM","Waterford","I93 South","I-93","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15B101414","VSP - B1 St. Johnsbury","1","10.3","Deer","Day","MM 10.3","None","None","","VTVSP0200","Not at a Junction","None","I93 South","Dry","0930","44.40387890514786,-72.00201916176395"
"132288","","May 16, 2015, 9:30 AM","Waterford","Interstate 93 South","I-93","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15B101423","VSP - B1 St. Johnsbury","1","9.55","Deer","Night","Mile Marker 9.8","None","None","","VTVSP0200","Not at a Junction","None","Interstate 93 South","Dry","0930","44.41041281725861,-71.98911110773146"
"132139","","May 17, 2015, 10:30 AM","Fairlee","I-91SB MM 90.8","I-91","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15B300994","VSP - B3 Bradford","1","90.8","Deer","Night","Lake Morey Road","None","None","","VTVSP1300","Not at a Junction","None","I-91SB MM 90.8","Dry","0910","43.898576467762624,-72.16369945591865"
"131541","","May 19, 2015, 9:45 AM","Shoreham","FAS-160(2073 Richville Road)","RICHVILLE RD","Injury","Single Vehicle Crash","Clear","Federal Aid Secondary System (Class 2 TH)","15C201478","VSP - C2 New Haven","3","2.06","Deer","Night","North Orwell Road","None","Motorcycle","","VTVSP0600","Not at a Junction","None","FAS-160(2073 Richville Road)","Dry","S0160","43.87454755119164,-73.27512900883252"
"131762","","May 23, 2015, 11:36 AM","Brattleboro","I-91 N.B.","I-91","Injury","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15D201341","VSP - D2 Brattleboro (VOID)","1","6.8","Moose","Night","Mile Mark 6.8","None","None","","VTVSP1000","Not at a Junction","None","I-91 N.B.","Dry","0910","42.82603774770593,-72.56606028419634"
"133187","","May 25, 2015, 1:50 AM","Castleton","Us Rt 425","US-4","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15FH00784","Fair Haven PD.","1","6.38","Deer","Day","","None","None","","VT0110400","Not at a Junction","None","Us Rt 425","Dry","0040","43.62329254601352,-73.19064727848092"
"133446","","May 25, 2015, 11:10 AM","Vernon","MM 3.6 I-91 N","I-91","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15D201356","VSP - D2 Brattleboro (VOID)","1","3.6","Deer","Night","","None","None","","VTVSP1000","Not at a Junction","None","MM 3.6 I-91 N","Dry","0910","42.78135200449312,-72.56054637941557"
